,语料ID,产品名称,内容,年份,sn_ner,hb_ner
0,餐饮评论-1001,盛香烧鹅（东方市场店）,"很好吃推荐！
主食3选1，有赠品",2018,set(),set()
1,餐饮评论-1002,清香面包店（车田街店）,"超级好吃 老板又好  量又多
水果忌廉夹心蛋糕（二层）1个，约4磅，圆",2018,set(),set()
2,餐饮评论-1003,功夫鸡排（光华北路店）,"好吃，不得不说比门口正对面那家好吃。服务态度也好。炸的皮松软，不会炸得很硬。
小吃6选1，提供免费WiFi",2018,set(),{'WiFi'}
3,餐饮评论-1004,茂名浪漫海岸温德姆酒店望海餐厅,"品种少，冷冻食品多。 7点就不再出食物，难以接受。
自助晚餐（浪漫海岸跨年音乐节）",2018,set(),set()
4,餐饮评论-1005,清香面包店（车田街店）,"味道不错，至少吃起来不腻，并且全家7个人吃还是挺多的了，就比较实惠咯
水果忌廉夹心蛋糕（二层）1个，约4磅，圆",2018,set(),set()
5,餐饮评论-1006,优之品西点,"蛋糕香喉，奶油嫩滑，水果新鲜！超赞！到店买的抹茶慕斯蛋糕，榴莲蛋糕更是唇齿留香、回味无穷！
蛋糕2选1，提供免费WiFi",2018,set(),{'WiFi'}
6,餐饮评论-1007,优之品西点,"芒果好酸好生啊，看起来黄黄的应该挺甜的，实际好酸。。。
蛋糕2选1，提供免费WiFi",2018,set(),set()
7,餐饮评论-1008,清香面包店（车田街店）,"蛋糕很漂亮也非常好吃，奶油很厚不腻
水果忌廉夹心蛋糕（一层）1个，约2.5磅，圆",2018,set(),set()
8,餐饮评论-1009,旺角亭（为民店）,"很好，一直都有在吃他家的东西，紫菜卷很好吃
休闲单人套餐，提供免费WiFi",2018,{'东西'},{'WiFi'}
9,餐饮评论-1010,盛香烧鹅（东方市场店）,"来了好多次了，饭菜都适合我的口味，不错的快餐，值得推荐！还会再来
主食3选1，有赠品",2018,set(),set()
10,餐饮评论-1011,鲜滋味蛋糕·季念日生日蛋糕（茂南区店）,"榴莲千层没什么榴莲味，而且不新鲜，那点榴莲肉有杂物黑色的
榴莲千层/榴莲雪媚娘2选1",2018,set(),set()
