,语料ID,产品名称,内容,年份,sn_ner,hb_ner
0,景区评论-1001,中国第一滩旅游度假区,超级美 冬天白日里最是舒服,2018,set(),set()
1,景区评论-1002,广垦（茂名）国家热带农业公园,上了一节深刻的农业科普课，值了，在携程买价格挺合理，当时现场活动价35元。“氧吧”，“花海”，桂花香和成熟的杨桃味扑鼻而来，里面销售部的石榴很好吃，交通挺方便，下了化州出口（汕湛高速）再开5分钟就到了，期待越办越好。,2018,"{'携程', '汕湛高速'}",set()
2,景区评论-1003,西江温泉度假村,西江温泉度假村坐落于南国玉都——信宜市郊北界镇西江岸边，西江温泉故此得名，距市中心12公里，占地面积100亩，西江温泉度假村粤西新兴的集温泉理疗、旅业饮食、娱乐健身、旅游购物于一体的综合性旅游度假区。,2018,"{'郊北界', '西江温泉度假村', '西江温泉度', '西江温泉'}","{'西江温泉度假村', '西江', '西江温泉'}"
3,景区评论-1004,石根山,爬的很累！感觉还是挺不错的，设施再升级完善。2个多小时才爬到山顶！要是有玻璃栈道就完美了！,2018,set(),set()
4,景区评论-1005,天马山生态旅游区,这次是和家人一起出游，选择天马山也是觉得比较适合老人和小朋友，游玩起来不会太累。其实早在04年就已经去过了，那时还没生小孩，这次带着儿子和婆婆一起去，在重温的同时，也可以尽享天伦之乐。比起04年，现在的天马山新增了一些收费项目，个人认为可以不必花费这些钱，是在很一般。其它的景点见仁见智，主要是陪家里人一起出游。,2018,{'天马山'},{'天马山'}
5,景区评论-1006,石根山,山很高，空气清新，环境还可以，最好玩的还是滑道,2018,set(),set()
6,景区评论-1007,阳江春都温泉,环境清幽淡雅，水质干净够热，休闲好去处，不错,2018,set(),set()
7,景区评论-1008,阳西青洲岛,就是熱帶島嶼…沙灘很小，逛逛還可以，水挺清，但沒什麼玩，還不如月亮灣,2018,{'月'},set()
8,景区评论-1009,石根山,玩了一天，石根山风景还是不错的，滑道非常好玩，值得试试,2018,{'石根山'},{'石根山'}
9,景区评论-1010,海滨公园,如果天气好，公园特别漂亮，树郁郁葱葱，不过湛江污染严重，好天不多,2018,set(),set()
10,景区评论-1011,维纳斯皇家温泉（广东阳西店）,环境不错，地方舒适，出入方便。,2018,set(),set()
11,景区评论-1012,广垦（茂名）国家热带农业公园,不错，园内很大，我都走了几个小时，孩子很喜欢，景点很好，有空在去玩！,2018,set(),set()
12,景区评论-1013,渔港公园,环境好！空气好！适合散步！关键免费,2018,set(),set()
13,景区评论-1014,广东海洋大学,环境优雅，校园很大，附近还有地质公园,2018,{'地质公园'},set()
14,景区评论-1015,阳江春都温泉,环境好靓，空气好好，水质棒棒哒。,2018,set(),set()
15,景区评论-1016,金鹿园,还行吧应该，太久之后来评价了我都忘记了当时好不好了，不过今年出来玩的都还不错，好评！,2018,set(),set()
16,景区评论-1017,水东湾,景色算是不错，有红树林，还有长长的海堤，还有栈桥，早上或者傍晚可以在海边跑步，傍晚很多人在栈桥和海堤漫步，是个非常不错的去处。,2018,{'栈桥'},set()
17,景区评论-1018,石根山,登山运动好去处，累着然快乐着，登顶后的征服感更乐！,2018,set(),set()
18,景区评论-1019,海东度假村,不错，，，，，，，，，值得一去,2018,set(),set()
19,景区评论-1020,天堂湖温泉度假山庄,人少，开放的池子也少！设施服务配套还有待提高！没有车的话，吃东西就不太方便！,2018,set(),set()
20,景区评论-1021,石根山,是一个值得一去的好地方，风景很不错哦,2018,set(),set()
21,景区评论-1022,寸金动物园,那里很大，有各部分景点，有游乐设施，有动物园，也有博物馆，景色很美,2018,set(),set()
