,产品
0,海滨市场
1,苏二村
2,显臣中学
3,下川岛
4,茂名纪念公园
5,马丽小学
6,汉长城
7,大陂村释迦园
8,潘州公园
9,天龙顶国家山地公园
10,凌霄岩风景区
11,元晟坊蛋糕（南香公园店）
12,茂名浪漫海岸
13,湾舟岛
14,59国道
15,国经济林协会
16,崆峒岩景区
17,茂名电白童子
18,迪士尼
19,南京二间
20,蝴蝶谷玻璃桥
21,大雄宝殿
22,沉香山集团
23,原油地码头
24,秀英码头
25,湛江海湾
26,洪国皇宫
27,大隆服务区
28,农业部
29,欢乐世界
30,南昌街
31,"关车
同站换"
32,沉香宾馆
33,"
南盛街"
34,⑥浪漫海岸度假区
35,仙人洞自然风景区
36,国际会议中心
37,茂名文化传媒集团
38,电白郡
39,文化广场
40,蒋光鼐
41,鼎龙湾酒店
42,茂名文华酒店
43,茂名碧桂园
44,放鸡岛海洋公园酒店
45,天门滑道玻璃吊桥
46,池垌站
47,雷达站
48,丽呈品牌
49,晏镜岭童
50,大湾区
51,海战区
52,布吉河
53,开春高速
54,菲尔德斯半岛
55,禧荟城
56,茂名报社
57,东湾新城建设管理委员会
58,夫人庙
59,"瀑布
玻璃景观平台"
60,高州长坡旧城
61,东阳街
62,广东高州师范89届体育班
63,沙扒湾
64,文化站
65,广佛高速
66,潘仙祠
67,清州岛
68,洛湛铁路
69,"小东江垂钓
高山社区"
70,水中东湾
71,南极半岛
72,企鹅馆
73,观海楼酒店
74,"寻古
鳌头镇"
75,高州总会
76,"凤凰园
"
77,童子湾风景区
78,茂名启德文化公司
79,茂名公交
80,自力村
81,信宜丽晶酒店
82,慈愍祖师
83,雅星镇八一迎宾馆
84,莲花湖温德姆酒店
85,白沙滩
86,大洪国王宫
87,电海街道
88,御水古温泉
89,"太平境
"
90,笔架山公园
91,华南农业大学
92,火山湖
93,鲜饮时光（高州店）
94,广东版布达佩斯大饭店
95,六角连亭
96,文昌月
97,②水东湾跨海大桥
98,小和寿司（光明路店）
99,政治中心
100,"广东君元沉香山酒业有限公司
"
101,甲门峡漂流
102,俄贤岭
103,观海楼假日酒店
104,浮山岭旅游风景区
105,探胜岛
106,阳光大沙滩
107,八仙道观
108,IU酒店(信宜中兴六路店)
109,海景明珠商住楼南面
110,化州桔龙商务酒店
111,南海舰队
112,大门口镇楼
113,→金沙湾观海长廊→
114,盐田肠
115,普吉岛
116,马头岭
117,御水谷
118,江湛铁路
119,浪漫海岸温德姆酒店水上乐园
120,文光塔
121,携程网
122,骑楼街
123,七星瓢虫亭
124,茂名露天矿生态公园
125,南极大陆
126,雪世界
127,齐刘海
128,茂名御水古温泉度假酒店
129,浪漫海岸的酒店
130,海味街
131,碧桂园城市花园
132,茂名大道
133,诗歌教堂
134,冼夫人纪念馆
135,响水潭
136,苍南海
137,清州岛浴场
138,窦州古城牌坊
139,"千里眼镜
东桥相馆"
140,广州碧桂园
141,玻璃栈道
142,数亚庇环滩岛
143,西北角
144,喜来登酒店
145,海淀路
146,同心池
147,四川建川博物馆
148,信宜市委
149,中国长城站
150,茂名放鸡岛
151,县委招待所
152,神仙酒店
153,天马山生态旅游景区
154,万豪国际集团
155,台山黑沙湾
156,花园酒店
157,达佩斯大饭店
158,双山二路
159,莲花湖景区
160,大成镇至山顶公路
161,鑫源酒店
162,达慕会场
163,岛南海湾花园
164,马踏镇
165,香格里拉
166,人民政府
167,西海岸
168,环城东路
169,中山大学
170,电车路
171,广东省食品药品监督局
172,仙人洞景区
173,汕尾红海湾
174,广东省农民协会南路
175,灵王崇拜
176,大车坡
177,镇隆镇中心小学
178,海湾大桥
179,南中国海
180,德雷克海峡
181,电白第一中学
182,湿地公园
183,高州三塔
184,霞山观海长
185,万达广场
186,"石敢当
村庙"
187,东极正堂
188,宴镜岭
189,御水古温泉酒店
190,第一滩公交站
191,珠江台
192,中国林业科学研究院
193,湛江博物馆
194,黄金海
195,苗寨客栈
196,亚婆角
197,信宜山路
198,大树岛
199,火山岛
200,五马归槽
201,鳌头古粥店
202,国大草原
203,合和大道
204,新华书店
205,书法广场
206,顺德清晖园
207,满酱（东湖店）
208,港堡汉堡（双山四路店）
